Laptop_ID,Brand,Model,Price,Processor,RAM,Storage,OS,Rating
LAP0001,Dell,Inspiron 15,43400,Ryzen 3,8GB,512GB SSD,macOS,4.4
LAP0002,Microsoft,Surface Laptop 5,98700,Snapdragon X Elite,8GB,256GB SSD,Windows,3.8
LAP0003,HP,Victus 15,121500,Ryzen 7,32GB,2TB SSD,macOS,4.6
LAP0004,HP,Victus 15,80200,Ryzen 7,16GB,512GB SSD,Linux,4.8
LAP0005,Apple,MacBook Air M2,159100,Apple M1,32GB,256GB SSD,macOS,4.7
LAP0006,Acer,Aspire 5,157400,Ryzen 9,32GB,256GB SSD,Windows,3.9
LAP0007,Apple,MacBook Air M3,140900,Apple M1,8GB,512GB SSD,macOS,4.9
LAP0008,ASUS,VivoBook 15,96300,Ryzen 7,32GB,1TB SSD,Linux,4.0
LAP0009,ASUS,ROG Strix G16,101400,Intel i5,64GB,512GB SSD,macOS,4.1
LAP0010,Acer,Nitro V,71300,Ryzen 5,8GB,256GB SSD,Windows,4.1
LAP0011,Dell,Vostro 15,136300,Ryzen 5,32GB,1TB HDD,macOS,4.1
LAP0012,Acer,Nitro V,183500,Intel i9,64GB,1TB HDD,Linux,4.1
LAP0013,ASUS,TUF Gaming F15,75000,Ryzen 9,4GB,256GB SSD,Windows,4.4
LAP0014,MSI,Modern 14,158400,Ryzen 7,64GB,1TB HDD,ChromeOS,3.9
LAP0015,Microsoft,Surface Laptop 5,108500,Intel i5,32GB,256GB SSD,Windows,4.1
LAP0016,Samsung,Galaxy Book 3,162000,Ryzen 3,64GB,256GB SSD,macOS,3.9
LAP0017,Microsoft,Surface Pro 9,140700,Intel i7,32GB,256GB SSD,Windows,4.8
LAP0018,Microsoft,Surface Laptop 5,117600,Snapdragon X Plus,8GB,256GB SSD,Windows,4.7
LAP0019,Acer,Nitro V,91200,Intel i3,64GB,256GB SSD,macOS,4.5
LAP0020,Dell,Vostro 15,126700,Intel i7,64GB,512GB SSD,ChromeOS,4.2
LAP0021,MSI,Thin 15,150400,Intel i9,32GB,1TB SSD,Linux,4.8
LAP0022,Samsung,Galaxy Book 3,65800,Intel i9,4GB,1TB SSD,macOS,4.3
LAP0023,ASUS,TUF Gaming F15,33800,Intel i3,4GB,512GB SSD,Windows,4.8
LAP0024,Apple,MacBook Air M2,121200,Apple M2,24GB,2TB SSD,macOS,4.3
LAP0025,Samsung,Galaxy Book 3,72700,Ryzen 9,8GB,256GB SSD,ChromeOS,4.4
LAP0026,Apple,MacBook Pro 16,90800,Apple M4,32GB,256GB SSD,macOS,3.6
LAP0027,Apple,MacBook Air M2,205600,Apple M2,16GB,512GB SSD,macOS,4.1
LAP0028,MSI,Thin 15,88100,Ryzen 3,8GB,256GB SSD,ChromeOS,4.6
LAP0029,Microsoft,Surface Laptop 5,91800,Intel i5,8GB,256GB SSD,Windows,4.1
LAP0030,Samsung,Galaxy Book 3,39300,Ryzen 7,8GB,1TB HDD,Windows,4.9
